               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.022181,              0.0183,          3.1565e-08,             0.80289,              0.7522,             0.80023,             0.43912,            0.020351,            0.016806,          3.1264e-08,           0.0089605,           0.0089605,           0.0089605
                  65,            0.022427,            0.018006,          3.1437e-08,             0.80914,             0.75087,             0.80693,             0.44909,            0.020264,            0.016827,          3.1197e-08,            0.008944,            0.008944,            0.008944
                  66,            0.022163,            0.017853,          3.1487e-08,             0.79489,             0.77352,             0.81884,             0.44724,            0.020557,            0.016516,          3.1215e-08,           0.0089275,           0.0089275,           0.0089275
                  67,            0.022122,             0.01831,          3.1368e-08,             0.77383,             0.78223,             0.80098,             0.43256,            0.020919,            0.016751,           3.113e-08,            0.008911,            0.008911,            0.008911
                  68,            0.021871,            0.017966,          3.1391e-08,             0.79764,             0.79268,             0.81799,             0.45563,            0.020313,            0.016412,          3.1236e-08,           0.0088945,           0.0088945,           0.0088945
                  69,            0.021891,            0.017763,          3.1461e-08,             0.74287,             0.80836,              0.8115,             0.44777,            0.020633,            0.016509,          3.1162e-08,            0.008878,            0.008878,            0.008878
                  70,            0.022013,            0.018185,          3.1295e-08,              0.7659,             0.79227,              0.8171,             0.45106,            0.020436,            0.016612,          3.1063e-08,           0.0088615,           0.0088615,           0.0088615
                  71,            0.021951,            0.018627,          3.1412e-08,             0.78185,             0.76802,             0.81426,             0.44181,            0.020708,            0.016758,          3.1058e-08,            0.008845,            0.008845,            0.008845
                  72,            0.021813,            0.017636,          3.1414e-08,             0.81892,             0.75636,              0.8122,             0.44378,             0.02039,            0.016573,          3.0998e-08,           0.0088285,           0.0088285,           0.0088285
                  73,            0.021968,            0.017799,          3.1463e-08,             0.77708,             0.78223,             0.80468,              0.4469,            0.020429,            0.016309,          3.1158e-08,            0.008812,            0.008812,            0.008812
                  74,            0.021461,            0.017968,          3.1524e-08,             0.76931,             0.79443,             0.80923,             0.45057,            0.020166,            0.016494,          3.1252e-08,           0.0087955,           0.0087955,           0.0087955
                  75,             0.02163,            0.017627,          3.1307e-08,             0.78832,              0.8045,              0.8157,             0.43923,            0.020539,            0.016272,          3.1159e-08,            0.008779,            0.008779,            0.008779
                  76,             0.02201,            0.017833,          3.1409e-08,             0.75584,             0.81185,             0.81781,             0.44689,            0.020172,            0.016185,          3.1205e-08,           0.0087625,           0.0087625,           0.0087625
                  77,            0.021596,            0.017637,          3.1413e-08,             0.76739,             0.82056,              0.8179,             0.44266,            0.020421,            0.016815,          3.1376e-08,            0.008746,            0.008746,            0.008746
                  78,            0.021561,            0.017253,          3.1446e-08,             0.78934,             0.78571,             0.80343,             0.43857,            0.020412,             0.01656,          3.1292e-08,           0.0087295,           0.0087295,           0.0087295
                  79,            0.021743,            0.017446,          3.1611e-08,             0.77991,             0.80836,             0.81349,             0.44061,            0.020566,             0.01651,          3.1213e-08,            0.008713,            0.008713,            0.008713
                  80,            0.021712,            0.017766,          3.1551e-08,             0.76168,              0.8101,             0.80327,             0.43137,            0.020577,            0.016714,           3.129e-08,           0.0086965,           0.0086965,           0.0086965
                  81,            0.021564,            0.017859,          3.1488e-08,             0.78159,             0.77929,             0.80767,               0.444,            0.020317,            0.016686,          3.1371e-08,             0.00868,             0.00868,             0.00868
                  82,            0.021138,             0.01759,          3.1546e-08,             0.80415,             0.76655,             0.81248,             0.43694,            0.020314,            0.016661,          3.1104e-08,           0.0086635,           0.0086635,           0.0086635
                  83,            0.021269,            0.017145,          3.1492e-08,             0.81662,             0.74564,             0.80496,             0.44387,            0.020035,            0.016537,          3.1172e-08,            0.008647,            0.008647,            0.008647
                  84,            0.021626,            0.017388,          3.1558e-08,             0.78937,             0.77178,             0.80914,             0.43949,            0.020249,            0.016698,          3.1286e-08,           0.0086305,           0.0086305,           0.0086305
                  85,             0.02149,            0.017544,          3.1446e-08,             0.81739,              0.7486,             0.81611,             0.43973,            0.020651,            0.016569,          3.1243e-08,            0.008614,            0.008614,            0.008614
                  86,            0.021443,            0.017145,          3.1511e-08,             0.79693,             0.76655,              0.8115,             0.44856,            0.020534,            0.016888,          3.1255e-08,           0.0085975,           0.0085975,           0.0085975
                  87,            0.021394,            0.017438,          3.1361e-08,             0.80099,             0.77831,             0.80843,              0.4459,            0.020516,            0.016715,           3.122e-08,            0.008581,            0.008581,            0.008581
                  88,            0.021309,            0.017722,          3.1532e-08,             0.77205,             0.77889,             0.80751,             0.44952,            0.020298,             0.01643,          3.1225e-08,           0.0085645,           0.0085645,           0.0085645
                  89,            0.021142,            0.017231,          3.1591e-08,             0.76969,             0.81359,             0.82592,             0.45437,            0.020089,            0.016507,          3.1493e-08,            0.008548,            0.008548,            0.008548
                  90,            0.021135,             0.01704,          3.1677e-08,             0.79984,             0.77352,              0.8186,             0.44599,             0.02012,            0.016684,          3.1332e-08,           0.0085315,           0.0085315,           0.0085315
                  91,            0.021139,            0.017421,          3.1554e-08,             0.74469,             0.81882,             0.80546,             0.45161,            0.020275,            0.016824,          3.1315e-08,            0.008515,            0.008515,            0.008515
                  92,            0.020989,            0.017243,          3.1576e-08,             0.78656,              0.8101,              0.8099,             0.44399,            0.020312,            0.016981,          3.1225e-08,           0.0084985,           0.0084985,           0.0084985
                  93,            0.020934,            0.017613,          3.1411e-08,             0.80619,             0.77003,             0.81308,             0.44764,            0.020015,            0.016365,          3.1155e-08,            0.008482,            0.008482,            0.008482
                  94,            0.020951,            0.017119,          3.1386e-08,             0.81147,             0.77526,             0.81688,             0.45633,            0.020265,            0.016554,          3.1183e-08,           0.0084655,           0.0084655,           0.0084655
                  95,            0.020957,            0.016955,          3.1417e-08,             0.79978,             0.80314,             0.83235,             0.45461,            0.020434,            0.016392,          3.1286e-08,            0.008449,            0.008449,            0.008449
                  96,            0.021077,            0.017259,          3.1498e-08,             0.81476,             0.78925,             0.82829,             0.45767,            0.020377,            0.016224,          3.1112e-08,           0.0084325,           0.0084325,           0.0084325
                  97,            0.021207,            0.017221,           3.144e-08,             0.75354,             0.83101,             0.82185,             0.46459,            0.020013,            0.016243,          3.1257e-08,            0.008416,            0.008416,            0.008416
                  98,            0.021442,            0.017004,          3.1482e-08,             0.80753,             0.77875,             0.81586,             0.45023,            0.020445,            0.016692,          3.1103e-08,           0.0083995,           0.0083995,           0.0083995
                  99,            0.021135,             0.01667,          3.1356e-08,             0.78974,             0.80836,             0.81477,             0.46055,            0.020241,            0.016197,          3.1056e-08,            0.008383,            0.008383,            0.008383
                 100,            0.020554,            0.017071,          3.1325e-08,             0.78918,              0.7826,             0.81888,             0.46267,            0.019937,            0.016373,          3.1158e-08,           0.0083665,           0.0083665,           0.0083665
                 101,            0.020782,            0.016562,          3.1289e-08,             0.80813,             0.78571,             0.81491,             0.45438,             0.01997,             0.01692,           3.108e-08,             0.00835,             0.00835,             0.00835
                 102,            0.020856,            0.016751,          3.1278e-08,             0.80203,               0.777,              0.8048,             0.44308,            0.020343,            0.016805,          3.1063e-08,           0.0083335,           0.0083335,           0.0083335
                 103,            0.020582,            0.017078,          3.1403e-08,             0.75413,             0.81757,             0.81785,             0.45991,            0.020193,            0.016459,          3.1272e-08,            0.008317,            0.008317,            0.008317
                 104,            0.020862,            0.016641,          3.1487e-08,             0.78722,             0.79443,             0.82228,             0.45603,            0.020418,            0.016312,          3.1254e-08,           0.0083005,           0.0083005,           0.0083005
                 105,            0.020956,            0.017028,          3.1482e-08,             0.79104,             0.80461,              0.8133,             0.44621,            0.020323,            0.016716,          3.1314e-08,            0.008284,            0.008284,            0.008284
                 106,            0.020699,            0.017065,          3.1491e-08,             0.80806,             0.77009,             0.79782,             0.44298,            0.020269,            0.016836,          3.1229e-08,           0.0082675,           0.0082675,           0.0082675
                 107,            0.020753,            0.016878,          3.1436e-08,             0.76527,             0.81789,             0.80295,             0.44489,            0.020276,            0.016552,          3.1151e-08,            0.008251,            0.008251,            0.008251
                 108,             0.02083,            0.016912,          3.1263e-08,             0.78273,             0.77352,             0.79773,              0.4444,            0.020293,            0.016479,          3.1055e-08,           0.0082345,           0.0082345,           0.0082345
                 109,             0.02047,            0.016931,           3.142e-08,             0.81728,             0.76655,              0.8097,             0.45388,            0.020271,            0.016751,          3.1071e-08,            0.008218,            0.008218,            0.008218
                 110,            0.020589,            0.016327,          3.1393e-08,             0.77859,             0.79617,             0.81201,             0.45991,            0.019933,            0.016411,          3.1179e-08,           0.0082015,           0.0082015,           0.0082015
                 111,            0.020618,            0.016369,          3.1352e-08,             0.77785,             0.78746,             0.81455,             0.45267,            0.020117,             0.01649,           3.101e-08,            0.008185,            0.008185,            0.008185
                 112,            0.020568,            0.016188,          3.1281e-08,             0.77945,             0.82404,             0.81637,             0.45501,            0.020102,            0.016378,          3.1109e-08,           0.0081685,           0.0081685,           0.0081685
                 113,             0.02049,            0.016893,          3.1317e-08,             0.81315,             0.77526,             0.82005,             0.46389,            0.019803,            0.016356,          3.1128e-08,            0.008152,            0.008152,            0.008152
                 114,             0.02063,            0.016823,          3.1407e-08,             0.80057,              0.7553,             0.79925,             0.44268,            0.020207,            0.016655,          3.1088e-08,           0.0081355,           0.0081355,           0.0081355
                 115,            0.020526,            0.016661,          3.1499e-08,             0.79989,             0.76604,              0.8089,             0.45129,             0.02044,            0.016725,          3.1084e-08,            0.008119,            0.008119,            0.008119
                 116,            0.020681,            0.016671,          3.1367e-08,             0.80479,             0.79005,              0.8157,             0.45674,            0.019878,            0.016466,          3.1111e-08,           0.0081025,           0.0081025,           0.0081025
                 117,            0.020782,            0.016355,          3.1338e-08,             0.81482,             0.77526,             0.81584,             0.46057,            0.019701,            0.016424,           3.101e-08,            0.008086,            0.008086,            0.008086
                 118,            0.020602,              0.0163,          3.1341e-08,              0.8183,             0.76892,             0.81889,             0.45139,            0.020141,            0.016494,          3.1058e-08,           0.0080695,           0.0080695,           0.0080695
                 119,            0.020289,            0.016523,          3.1314e-08,             0.80722,             0.78055,             0.81256,              0.4527,            0.019998,            0.016414,          3.1037e-08,            0.008053,            0.008053,            0.008053
                 120,            0.020028,            0.015984,          3.1297e-08,             0.81086,              0.7693,             0.81124,              0.4555,            0.020125,            0.016379,          3.1056e-08,           0.0080365,           0.0080365,           0.0080365
                 121,            0.020427,            0.016432,          3.1481e-08,             0.78912,             0.79965,             0.82072,             0.45473,            0.019882,            0.016432,          3.1154e-08,             0.00802,             0.00802,             0.00802
                 122,            0.020566,             0.01644,          3.1475e-08,             0.80074,             0.78571,              0.8172,             0.45816,             0.01997,             0.01644,          3.1104e-08,           0.0080035,           0.0080035,           0.0080035
                 123,            0.020394,             0.01648,          3.1514e-08,             0.80678,             0.75958,             0.80856,             0.44786,            0.020184,            0.016603,          3.1202e-08,            0.007987,            0.007987,            0.007987
                 124,            0.020365,            0.016384,          3.1455e-08,             0.79938,             0.79791,             0.81647,             0.45728,            0.020002,            0.016327,          3.1226e-08,           0.0079705,           0.0079705,           0.0079705
                 125,            0.020093,            0.016804,            3.14e-08,             0.76992,             0.81707,             0.81655,             0.45451,            0.019991,            0.016431,          3.1134e-08,            0.007954,            0.007954,            0.007954
                 126,            0.020187,            0.015911,          3.1429e-08,             0.81536,               0.777,             0.82146,             0.46356,            0.019955,            0.016202,          3.1048e-08,           0.0079375,           0.0079375,           0.0079375
                 127,            0.020412,             0.01661,          3.1367e-08,             0.82953,             0.77994,             0.82202,             0.45662,            0.019993,            0.016355,          3.1045e-08,            0.007921,            0.007921,            0.007921
                 128,            0.020397,            0.016668,          3.1364e-08,             0.79928,             0.79778,             0.81419,             0.45112,            0.020081,            0.016575,          3.1012e-08,           0.0079045,           0.0079045,           0.0079045
                 129,            0.020241,            0.016309,          3.1268e-08,             0.78448,             0.80139,              0.8133,             0.46161,             0.01974,            0.016472,          3.0942e-08,            0.007888,            0.007888,            0.007888
                 130,            0.020183,            0.016226,          3.1181e-08,             0.82554,             0.75846,             0.81631,             0.46042,            0.019617,            0.016717,          3.0813e-08,           0.0078715,           0.0078715,           0.0078715
                 131,            0.020373,            0.016618,           3.126e-08,             0.80853,             0.76509,             0.81772,             0.46184,            0.019608,            0.016387,          3.0991e-08,            0.007855,            0.007855,            0.007855
                 132,             0.02034,            0.016625,          3.1223e-08,             0.79637,             0.79094,             0.81651,             0.46678,            0.019389,            0.016404,          3.0976e-08,           0.0078385,           0.0078385,           0.0078385
                 133,            0.020162,            0.016218,          3.1201e-08,             0.79463,             0.80662,             0.82088,              0.4598,            0.019803,            0.016457,          3.0933e-08,            0.007822,            0.007822,            0.007822
                 134,            0.020213,            0.015901,          3.1277e-08,             0.75787,             0.82885,             0.82053,             0.46271,            0.019644,            0.016431,             3.1e-08,           0.0078055,           0.0078055,           0.0078055
                 135,            0.020061,            0.015603,          3.1237e-08,             0.78195,             0.80593,             0.82193,              0.4705,            0.019497,            0.016542,          3.0898e-08,            0.007789,            0.007789,            0.007789
                 136,            0.019853,            0.016578,          3.1337e-08,             0.77619,             0.80358,             0.81393,             0.46213,            0.019622,             0.01653,          3.1009e-08,           0.0077725,           0.0077725,           0.0077725
                 137,            0.019793,             0.01655,          3.1288e-08,             0.79651,             0.79102,             0.82136,             0.45981,            0.019732,            0.016599,          3.1032e-08,            0.007756,            0.007756,            0.007756
                 138,            0.020398,            0.016715,          3.1384e-08,             0.74375,             0.83972,             0.81928,             0.45965,            0.019616,            0.016405,           3.102e-08,           0.0077395,           0.0077395,           0.0077395
                 139,            0.020016,            0.016586,          3.1269e-08,             0.79083,             0.78397,             0.82123,             0.46739,             0.01965,            0.016267,          3.1047e-08,            0.007723,            0.007723,            0.007723
                 140,            0.020226,            0.016145,          3.1267e-08,             0.79145,             0.76829,             0.80787,             0.46062,            0.019858,            0.016666,          3.0982e-08,           0.0077065,           0.0077065,           0.0077065
                 141,            0.020324,            0.016509,          3.1272e-08,             0.78816,             0.80376,             0.80918,             0.45874,             0.01974,            0.016513,          3.0936e-08,             0.00769,             0.00769,             0.00769
                 142,            0.019946,            0.016135,          3.1314e-08,             0.79882,             0.77003,             0.80976,             0.45663,            0.019754,            0.016607,          3.0977e-08,           0.0076735,           0.0076735,           0.0076735
                 143,            0.019819,            0.015904,          3.1357e-08,             0.75039,             0.82927,             0.80534,             0.45918,            0.019701,            0.016668,           3.106e-08,            0.007657,            0.007657,            0.007657
                 144,            0.019994,            0.015698,            3.13e-08,             0.74514,             0.83536,             0.81505,             0.45765,            0.019637,            0.016619,          3.0995e-08,           0.0076405,           0.0076405,           0.0076405
                 145,            0.019949,             0.01573,          3.1214e-08,             0.78118,             0.81359,             0.81654,             0.46261,            0.019587,             0.01648,          3.0975e-08,            0.007624,            0.007624,            0.007624
                 146,            0.019811,            0.015964,          3.1227e-08,              0.8083,             0.77129,              0.8059,             0.45649,            0.019658,            0.016822,          3.0911e-08,           0.0076075,           0.0076075,           0.0076075
                 147,            0.019971,            0.015721,            3.12e-08,             0.79997,             0.79094,             0.80751,             0.46401,            0.019644,            0.016898,          3.0859e-08,            0.007591,            0.007591,            0.007591
                 148,            0.019517,            0.015206,          3.1223e-08,             0.80042,             0.78746,             0.80392,             0.45208,            0.019842,            0.016749,           3.091e-08,           0.0075745,           0.0075745,           0.0075745
                 149,            0.019925,            0.015704,          3.1252e-08,             0.79475,             0.79617,             0.80596,             0.45734,            0.019763,            0.016959,          3.0941e-08,            0.007558,            0.007558,            0.007558
                 150,             0.01989,            0.016182,          3.1207e-08,             0.80768,             0.76092,             0.80012,             0.44995,              0.0198,            0.016686,          3.0918e-08,           0.0075415,           0.0075415,           0.0075415
